Species, Path,  Time, Latitude, Longitude
Volvariella_bombycina,misc/images/fungi/Volvariella_bombycina/IMG_5094.jpeg,2021:10:09 15:08:48,50.87319166666667,-0.8298361111111111
Volvariella_bombycina,misc/images/fungi/Volvariella_bombycina/IMG_5200.jpeg,2021:10:09 17:51:26,50.87318888888889,-0.8298
Volvariella_bombycina,misc/images/fungi/Volvariella_bombycina/IMG_5202.jpeg,2021:10:09 17:51:31,50.87317777777778,-0.8297888888888889
Coral,misc/images/fungi/Coral/IMG_5160.jpeg,2021:10:09 16:16:49,50.88788611111111,-0.8323444444444444
Grey_spotted_amantia,misc/images/fungi/Grey_spotted_amantia/IMG_9218.jpeg,2022:11:07 15:57:19,53.186499999999995,-3.271975
Grey_spotted_amantia,misc/images/fungi/Grey_spotted_amantia/IMG_9217.jpeg,2022:11:07 15:57:15,53.18655833333333,-3.272013888888889
Lycoperdon_perlatum,misc/images/fungi/Lycoperdon_perlatum/IMG_5217.jpeg,2021:10:14 17:02:22,51.712136111111114,-1.2580444444444445
Pleated_inkcap,misc/images/fungi/Pleated_inkcap/IMG_4914.jpeg,2021:09:19 08:31:43,50.89265833333333,-0.051825
Giant_funnel,misc/images/fungi/Giant_funnel/IMG_9142.jpeg,2022:10:30 16:09:19,51.7105,-1.2570583333333334
Upright_coral,misc/images/fungi/Upright_coral/IMG_9048.jpeg,2022:10:29 15:34:13,51.716175,-1.2613916666666667
Upright_coral,misc/images/fungi/Upright_coral/IMG_9040.jpeg,2022:10:29 15:32:44,51.71607222222222,-1.261438888888889
Birch_polypore,misc/images/fungi/Birch_polypore/IMG_8539.jpeg,2022:10:03 17:57:34,51.70943333333334,-1.256688888888889
Shaggy_parasol,misc/images/fungi/Shaggy_parasol/IMG_9091.jpeg,2022:10:29 16:23:06,51.719055555555556,-1.2575805555555555
Black_bulgar,misc/images/fungi/Black_bulgar/IMG_9265.jpeg,2022:11:09 12:30:29,52.93124722222222,-3.991811111111111
Parasol,misc/images/fungi/Parasol/IMG_8725.jpeg,2022:10:16 15:33:04,51.78125,-1.1219777777777777
Lilac_bonnet,misc/images/fungi/Lilac_bonnet/IMG_9052.jpeg,2022:10:29 15:38:18,51.71582777777778,-1.260375
